company_name,source_exchange,source_code,yahoo_symbol_guess,mapping_note,duplicate_row
ASTRAZENECA PLC,XNYS,AZN,AZN,auto (exchange suffix rule),
"AUTOZONE, INC.",XNYS,AZO,AZO,auto (exchange suffix rule),
BAE SYSTEMS PLC,XLON,BA.,BA.L,manual override,
BALL CORPORATION,XNYS,BALL,BALL,auto (exchange suffix rule),
"BEST BUY CO., INC.",XNYS,BBY,BBY,auto (exchange suffix rule),
Brunello Cucinelli SpA,XMIL,BC,BC.MI,auto (exchange suffix rule),
BELIMO Holding Ltd,XSWX,BEAN,BEAN.SW,auto (exchange suffix rule),
Beiersdorf AG,XFRA,BEI,BEI.F,auto (exchange suffix rule),
BE Semiconductor Industries NV,XAMS,BESI,BESI.AS,auto (exchange suffix rule),
Banca Generali SpA,XMIL,BGN,BGN.MI,auto (exchange suffix rule),
BOOKING HOLDINGS INC.,XNAS,BKNG,BKNG,auto (exchange suffix rule),
BAKER HUGHES COMPANY,XNAS,BKR,BKR,auto (exchange suffix rule),
"BLACKROCK, INC.",XNYS,BLK,BLK,auto (exchange suffix rule),
Banca Mediolanum SpA,XMIL,BMED,BMED.MI,auto (exchange suffix rule),
BUNZL PUBLIC LIMITED COMPANY,XFRA,BUZ,BUZ.F,auto (exchange suffix rule),
Bollore SE,XPAR,BOL,BOL.PA,auto (exchange suffix rule),
BOSTON SCIENTIFIC CORPORATION,XNYS,BSX,BSX,auto (exchange suffix rule),
BT GROUP PLC,XLON,BT.A,BT-A.L,manual override,
Bureau Veritas SA,XPAR,BVI,BVI.PA,auto (exchange suffix rule),
Carrefour SA,XPAR,CA,CA.PA,auto (exchange suffix rule),
Capgemini SE,XPAR,CAP,CAP.PA,auto (exchange suffix rule),
"CASEY'S GENERAL STORES, INC.",XNAS,CASY,CASY,auto (exchange suffix rule),
CAT STRATEGIC METALS CORPORATION,NEOE,CAT,CAT.NE,auto (exchange suffix rule),
"CBOE GLOBAL MARKETS, INC.",BATS,CBOE,CBOE,auto (exchange suffix rule),
"CBRE GROUP, INC.",XNYS,CBRE,CBRE,auto (exchange suffix rule),
CCH Holdings Ltd,XNAS,CCHH,CCHH,auto (exchange suffix rule),
"CADENCE DESIGN SYSTEMS, INC.",XNAS,CDNS,CDNS,auto (exchange suffix rule),
CD Projekt SA,XWAR,CDR,CDR.WA,auto (exchange suffix rule),
"CF INDUSTRIES HOLDINGS, INC.",XNYS,CF,CF,auto (exchange suffix rule),
"CULLEN/FROST BANKERS, INC.",XNYS,CFR,CFR,auto (exchange suffix rule),
"CHURCH & DWIGHT CO., INC.",XNYS,CHD,CHD,auto (exchange suffix rule),
"C.H. ROBINSON WORLDWIDE, INC.",XNAS,CHRW,CHRW,auto (exchange suffix rule),
THE CIGNA GROUP,XNYS,CI,CI,auto (exchange suffix rule),
CIENA CORPORATION,XNYS,CIEN,CIEN,auto (exchange suffix rule),
COLGATE-PALMOLIVE COMPANY,XNYS,CL,CL,auto (exchange suffix rule),
CME GROUP INC.,XNAS,CME,CME,auto (exchange suffix rule),
"CHIPOTLE MEXICAN GRILL, INC.",XNYS,CMG,CMG,auto (exchange suffix rule),
CUMMINS INC.,XNYS,CMI,CMI,auto (exchange suffix rule),
CAPITAL ONE FINANCIAL CORPORATION,XNYS,COF,COF,auto (exchange suffix rule),
Coherent Corp.,XNYS,COHR,COHR,auto (exchange suffix rule),
CONOCOPHILLIPS,XNYS,COP,COP,auto (exchange suffix rule),
"CENCORA, INC.",XNYS,COR,COR,auto (exchange suffix rule),
COSTCO WHOLESALE CORPORATION,XNAS,COST,COST,auto (exchange suffix rule),
"CORPAY, INC.",XNYS,CPAY,CPAY,auto (exchange suffix rule),
COMPASS GROUP PLC,XLON,CPG,CPG.L,auto (exchange suffix rule),
"COPART, INC.",XNAS,CPRT,CPRT,auto (exchange suffix rule),
CRH PUBLIC LIMITED COMPANY,XNYS,CRH,CRH,auto (exchange suffix rule),
"CISCO SYSTEMS, INC.",XNAS,CSCO,CSCO,auto (exchange suffix rule),
CSG NV,OTCM,CSGNF,CSGNF,auto (exchange suffix rule),
"COSTAR GROUP, INC.",XNAS,CSGP,CSGP,auto (exchange suffix rule),
CSX Corporation,XNAS,CSX,CSX,auto (exchange suffix rule),
CINTAS CORPORATION,XNAS,CTAS,CTAS,auto (exchange suffix rule),
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,XNAS,CTSH,CTSH,auto (exchange suffix rule),
"CORTEVA, INC.",XNYS,CTVA,CTVA,auto (exchange suffix rule),
CVC CAPITAL PARTNERS PLC,XWBO,CVC,CVC.AS,manual override,
CVS HEALTH CORPORATION,XNYS,CVS,CVS,auto (exchange suffix rule),
CHEVRON CORPORATION,XNYS,CVX,CVX,auto (exchange suffix rule),
"DELTA AIR LINES, INC.",XNYS,DAL,DAL,auto (exchange suffix rule),
Deutsche Boerse AG,XFRA,DB1,DB1.F,auto (exchange suffix rule),
DIGITALX LTD,XASX,DCC,DCC.AX,auto (exchange suffix rule),
DEERE & COMPANY,XNYS,DE,DE,auto (exchange suffix rule),
DECKERS OUTDOOR CORPORATION,XNYS,DECK,DECK,auto (exchange suffix rule),
DELL TECHNOLOGIES INC.,XNYS,DELL,DELL,auto (exchange suffix rule),
Demant A/S,XETR,WDH1,WDH1.DE,auto (exchange suffix rule),
Vinci SA,XPAR,DG,DG.PA,auto (exchange suffix rule),
QUEST DIAGNOSTICS INCORPORATED,XNYS,DGX,DGX,auto (exchange suffix rule),
Deutsche Post AG,XETR,DHL,DHL.DE,auto (exchange suffix rule),
DANAHER CORPORATION,XNYS,DHR,DHR,auto (exchange suffix rule),
De' Longhi SpA,XMIL,DLG,DLG.MI,auto (exchange suffix rule),
Dino Polska SA,XWAR,DNP,DNP.WA,auto (exchange suffix rule),
DOVER CORPORATION,XNYS,DOV,DOV,auto (exchange suffix rule),
DIPLOMA PLC,XLON,DPLM,DPLM.L,auto (exchange suffix rule),
Dassault Systemes SE,XFRA,DSY,DSY.F,auto (exchange suffix rule),
Daimler Truck Holding AG,XFRA,DTG,DTG.F,auto (exchange suffix rule),
DAVITA INC.,XNYS,DVA,DVA,auto (exchange suffix rule),
DEVON ENERGY CORPORATION,XNYS,DVN,DVN,auto (exchange suffix rule),
"DEXCOM, INC.",XNAS,DXCM,DXCM,auto (exchange suffix rule),
EBAY INC.,XNAS,EBAY,EBAY,auto (exchange suffix rule),
ECOLAB INC.,XNYS,ECL,ECL,auto (exchange suffix rule),
Edenred SE,XPAR,EDEN,EDEN.PA,auto (exchange suffix rule),
ENDEAVOUR GROUP LIMITED,XASX,EDV,EDV.AX,auto (exchange suffix rule),
Elisa Oyj,XHEL,ELISA,ELISA.HE,auto (exchange suffix rule),
"ELEVANCE HEALTH, INC.",XNYS,ELV,ELV,auto (exchange suffix rule),
"EMCOR GROUP, INC.",XNYS,EME,EME,auto (exchange suffix rule),
Ems Chemie Holding AG,XSWX,EMSN,EMSN.SW,auto (exchange suffix rule),
Bouygues SA,XPAR,EN,EN.PA,auto (exchange suffix rule),
Siemens Energy AG,XFRA,ENR,ENR.F,auto (exchange suffix rule),
Euronext NV,XFRA,ENX,ENX.F,auto (exchange suffix rule),
"EOG RESOURCES, INC.",XNYS,EOG,EOG,auto (exchange suffix rule),
EQT CORPORATION,XNYS,EQT,EQT,auto (exchange suffix rule),
EATON CORPORATION PUBLIC LIMITED COMPANY,XNYS,ETN,ETN,auto (exchange suffix rule),
Evotec SE,XNAS,EVO,EVO,auto (exchange suffix rule),
"Evergy, Inc.",XNAS,EVRG,EVRG,auto (exchange suffix rule),
EDWARDS LIFESCIENCES CORPORATION,XNYS,EW,EW,auto (exchange suffix rule),
"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",XNYS,EXPD,EXPD,auto (exchange suffix rule),
"EXPEDIA GROUP, INC.",XNAS,EXPE,EXPE,auto (exchange suffix rule),
EXPERIAN PLC,XLON,EXPN,EXPN.L,auto (exchange suffix rule),
FORD MOTOR COMPANY,XNYS,F,F,auto (exchange suffix rule),
FASTENAL COMPANY,XNAS,FAST,FAST,auto (exchange suffix rule),
FinecoBank Banca Fineco SpA,XMIL,FBK,FBK.MI,auto (exchange suffix rule),
FREEPORT-MCMORAN INC.,XNYS,FCX,FCX,auto (exchange suffix rule),
FACTSET RESEARCH SYSTEMS INC.,XNYS,FDS,FDS,auto (exchange suffix rule),
"F5, INC.",XNAS,FFIV,FFIV,auto (exchange suffix rule),
FAIR ISAAC CORPORATION,XNYS,FICO,FICO,auto (exchange suffix rule),
"COMFORT SYSTEMS USA, INC.",XNYS,FIX,FIX,auto (exchange suffix rule),
Fresenius Medical Care AG,XFRA,FME,FME.F,auto (exchange suffix rule),
FOX CORPORATION,XNAS,FOX,FOX,auto (exchange suffix rule),
FOX CORPORATION,XNAS,FOXA,FOXA,auto (exchange suffix rule),yes
Fresenius SE & Co KGaA,XETR,FRE,FRE.DE,auto (exchange suffix rule),
FRESNILLO PLC,XLON,FRES,FRES.L,auto (exchange suffix rule),
FRONTLINE PLC,XNYS,FRO,FRO,auto (exchange suffix rule),
"FIRST SOLAR, INC.",XNAS,FSLR,FSLR,auto (exchange suffix rule),
"FORTINET, INC.",XNAS,FTNT,FTNT,auto (exchange suffix rule),
GEA Group AG,XETR,G1A,G1A.DE,auto (exchange suffix rule),
GENERAL DYNAMICS CORPORATION,XNYS,GD,GD,auto (exchange suffix rule),
GODADDY INC.,XNYS,GDDY,GDDY,auto (exchange suffix rule),
Geberit AG,XSWX,GEBN,GEBN.SW,auto (exchange suffix rule),
GE HEALTHCARE TECHNOLOGIES INC.,XNAS,GEHC,GEHC,auto (exchange suffix rule),
GE VERNOVA INC.,XNYS,GEV,GEV,auto (exchange suffix rule),
"GILEAD SCIENCES, INC.",XNAS,GILD,GILD,auto (exchange suffix rule),
Givaudan Ltd,XSWX,GIVN,GIVN.SW,auto (exchange suffix rule),
CORNING INCORPORATED,XNYS,GLW,GLW,auto (exchange suffix rule),
GENERAC HOLDINGS INC.,XNYS,GNRC,GNRC,auto (exchange suffix rule),
ALPHABET INC.,XNAS,GOOG,GOOG,auto (exchange suffix rule),
ALPHABET INC.,XNAS,GOOGL,GOOGL,auto (exchange suffix rule),yes
Garmin Ltd,XNYS,GRMN,GRMN,auto (exchange suffix rule),
GSK PLC,XLON,GSK,GSK.L,auto (exchange suffix rule),
Gaztransport et Technigaz SA,XWBO,GTT,GTT.PA,manual override,
"W.W. GRAINGER, INC.",XNYS,GWW,GWW,auto (exchange suffix rule),
HALLIBURTON COMPANY,XWBO,HAL,HAL,manual override,
"HCA HEALTHCARE, INC.",XNYS,HCA,HCA,auto (exchange suffix rule),
"THE HOME DEPOT, INC.",XNYS,HD,HD,auto (exchange suffix rule),
HALMA PUBLIC LIMITED COMPANY,XLON,HLMA,HLMA.L,auto (exchange suffix rule),
HILTON WORLDWIDE HOLDINGS INC.,XNYS,HLT,HLT,auto (exchange suffix rule),
Thales SA,XPAR,HO,HO.PA,auto (exchange suffix rule),
Hochtief AG,XFRA,HOT,HOT.F,auto (exchange suffix rule),
HP INC.,XNYS,HPQ,HPQ,auto (exchange suffix rule),
THE HERSHEY COMPANY,XNYS,HSY,HSY,auto (exchange suffix rule),
HUBBELL INCORPORATED,XNYS,HUBB,HUBB,auto (exchange suffix rule),
HOWMET AEROSPACE INC.,XNYS,HWM,HWM,auto (exchange suffix rule),
IAMGOLD CORPORATION,XNYS,IAG,IAG,auto (exchange suffix rule),
"INTERCONTINENTAL EXCHANGE, INC.",XNYS,ICE,ICE,auto (exchange suffix rule),
"Idaho Strategic Resources, Inc.",XNYS,IDR,IDR,auto (exchange suffix rule),
"IDEXX LABORATORIES, INC.",XNAS,IDXX,IDXX,auto (exchange suffix rule),
IDEX CORPORATION,XNYS,IEX,IEX,auto (exchange suffix rule),
Infineon Technologies AG,XFRA,IFX,IFX.F,auto (exchange suffix rule),
LOEWS CORPORATION,XNYS,L,L,auto (exchange suffix rule),
IMPERIAL BRANDS PLC,XLON,IMB,IMB.L,auto (exchange suffix rule),
IMI PLC,XLON,IMI,IMI.L,auto (exchange suffix rule),
INCYTE CORPORATION,XNAS,INCY,INCY,auto (exchange suffix rule),
Indutrade AB,XSTO,INDT,INDT.ST,auto (exchange suffix rule),
INTUIT INC.,XNAS,INTU,INTU,auto (exchange suffix rule),
Ipsen SA,XPAR,IPN,IPN.PA,auto (exchange suffix rule),
IQVIA HOLDINGS INC,XNYS,IQV,IQV,auto (exchange suffix rule),
INGERSOLL RAND INC.,XNYS,IR,IR,auto (exchange suffix rule),
"INTUITIVE SURGICAL, INC.",XNAS,ISRG,ISRG,auto (exchange suffix rule),
"GARTNER, INC.",XNYS,IT,IT,auto (exchange suffix rule),
INTERTEK GROUP PLC,XLON,ITRK,ITRK.L,auto (exchange suffix rule),
ILLINOIS TOOL WORKS INC.,XNYS,ITW,ITW,auto (exchange suffix rule),
Industria de Diseno Textil SA,BMEX,ITX,ITX.MC,auto (exchange suffix rule),
INVESCO LTD,XNYS,IVZ,IVZ,auto (exchange suffix rule),
"J. B. HUNT TRANSPORT SERVICES, INC.",XNAS,JBHT,JBHT,auto (exchange suffix rule),
JABIL INC.,XNYS,JBL,JBL,auto (exchange suffix rule),
JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,XNYS,JCI,JCI,auto (exchange suffix rule),
"JACK HENRY & ASSOCIATES, INC.",XNAS,JKHY,JKHY,auto (exchange suffix rule),
Jeronimo Martins SGPS SA,XLIS,JMT,JMT.LS,auto (exchange suffix rule),
JOHNSON & JOHNSON,XNYS,JNJ,JNJ,auto (exchange suffix rule),
Knorr Bremse AG,XFRA,KBX,KBX.F,auto (exchange suffix rule),
Konecranes Oyj,XHEL,KCR,KCR.HE,auto (exchange suffix rule),
Kesko Corporation,XHEL,KESKOB,KESKOB.HE,auto (exchange suffix rule),
"KEYSIGHT TECHNOLOGIES, INC.",XNYS,KEYS,KEYS,auto (exchange suffix rule),
KGHM Polska Miedz SA,XWAR,KGH,KGH.WA,auto (exchange suffix rule),
KLA CORPORATION,XNAS,KLAC,KLAC,auto (exchange suffix rule),
KIMBERLY-CLARK CORPORATION,XNAS,KMB,KMB,auto (exchange suffix rule),
KONE Corporation,XHEL,KNEBV,KNEBV.HE,auto (exchange suffix rule),
Kuhne + Nagel International Ltd.,XSWX,KNIN,KNIN.SW,auto (exchange suffix rule),
THE COCA-COLA COMPANY,XNYS,KO,KO,auto (exchange suffix rule),
Kongsberg Gruppen ASA,XOSL,KOG,KOG.OL,auto (exchange suffix rule),
"KSPCO.,LTD",XKRX,073010,073010.KS,manual override,
KENVUE INC.,XNYS,KVUE,KVUE,auto (exchange suffix rule),
Leonardo SpA,XMIL,LDO,LDO.MI,auto (exchange suffix rule),
"LEIDOS HOLDINGS, INC.",XNYS,LDOS,LDOS,auto (exchange suffix rule),
LENNAR CORPORATION,XNYS,LEN,LEN,auto (exchange suffix rule),
LABCORP HOLDINGS INC.,XNYS,LH,LH,auto (exchange suffix rule),
Deutsche Lufthansa AG,XETR,LHA,LHA.DE,auto (exchange suffix rule),
LENNOX INTERNATIONAL INC.,XNYS,LII,LII,auto (exchange suffix rule),
ELI LILLY AND COMPANY,XNYS,LLY,LLY,auto (exchange suffix rule),
LOCKHEED MARTIN CORPORATION,XNYS,LMT,LMT,auto (exchange suffix rule),
Logitech international SA,XSWX,LOGN,LOGN.SW,auto (exchange suffix rule),
Lonza Group Ltd,XSWX,LONN,LONN.SW,auto (exchange suffix rule),
Lotus Bakeries NV,XBRU,LOTB,LOTB.BR,auto (exchange suffix rule),
"LOWE'S COMPANIES, INC.",XNYS,LOW,LOW,auto (exchange suffix rule),
Lpp SA,XWAR,LPP,LPP.WA,auto (exchange suffix rule),
LAM RESEARCH CORPORATION,XNAS,LRCX,LRCX,auto (exchange suffix rule),
LONDON STOCK EXCHANGE GROUP PLC,XLON,LSEG,LSEG.L,auto (exchange suffix rule),
Lottomatica Group SpA,XMIL,LTMC,LTMC.MI,auto (exchange suffix rule),
LULULEMON ATHLETICA INC.,XNAS,LULU,LULU,auto (exchange suffix rule),
MASTERCARD INCORPORATED,XNYS,MA,MA,auto (exchange suffix rule),
"MARRIOTT INTERNATIONAL, INC.",XNAS,MAR,MAR,auto (exchange suffix rule),
MASCO CORPORATION,XNYS,MAS,MAS,auto (exchange suffix rule),
Mercedes-Benz Group AG,XFRA,MBG,MBG.F,auto (exchange suffix rule),
MCKESSON CORPORATION,XNYS,MCK,MCK,auto (exchange suffix rule),
MOODY'S CORPORATION,XNYS,MCO,MCO,auto (exchange suffix rule),
MEDTRONIC PUBLIC LIMITED COMPANY,XNYS,MDT,MDT,auto (exchange suffix rule),
"META PLATFORMS, INC.",XNAS,META,META,auto (exchange suffix rule),
Metso Oyj,XHEL,METSO,METSO.HE,auto (exchange suffix rule),
"MCCORMICK & COMPANY, INCORPORATED",XNYS,MKC,MKC,auto (exchange suffix rule),
Compagnie Generale des Etablissements Michelin SCA,XPAR,ML,ML.PA,auto (exchange suffix rule),
MCFARLANE LAKE MINING LIMITED,XCNQ,MLM,MLM.CN,auto (exchange suffix rule),
3M COMPANY,XNYS,MMM,MMM,auto (exchange suffix rule),
MONSTER BEVERAGE CORPORATION,XNAS,MNST,MNST,auto (exchange suffix rule),
"Altria Group, Inc.",XNYS,MO,MO,auto (exchange suffix rule),
Moncler SpA,XMIL,MONC,MONC.MI,auto (exchange suffix rule),
Mowi ASA,XOSL,MOWI,MOWI.OL,auto (exchange suffix rule),
MARATHON PETROLEUM CORPORATION,XNYS,MPC,MPC,auto (exchange suffix rule),
Merck KGaA,XFRA,MRK,MRK.F,auto (exchange suffix rule),
MELROSE INDUSTRIES PLC,XLON,MRO,MRO.L,auto (exchange suffix rule),
"MARSH & MCLENNAN COMPANIES, INC.",XNYS,MRSH,MRSH,auto (exchange suffix rule),
MSCI INC.,XNYS,MSCI,MSCI,auto (exchange suffix rule),
MICROSOFT CORPORATION,XNAS,MSFT,MSFT,auto (exchange suffix rule),
"MOTOROLA SOLUTIONS, INC.",XNYS,MSI,MSI,auto (exchange suffix rule),
Montana Aerospace AG,XLON,0AAI,AERO.SW,manual override,
METTLER-TOLEDO INTERNATIONAL INC.,XNYS,MTD,MTD,auto (exchange suffix rule),
MTU Aero Engines AG,XFRA,MTX,MTX.F,auto (exchange suffix rule),
"MICRON TECHNOLOGY, INC.",XNAS,MU,MU,auto (exchange suffix rule),
Aurubis AG,XETR,NDA,NDA.DE,auto (exchange suffix rule),
"NASDAQ, INC.",XNAS,NDAQ,NDAQ,auto (exchange suffix rule),
NORDSON CORPORATION,XNAS,NDSN,NDSN,auto (exchange suffix rule),
Nordex SE,XFRA,NDX1,NDX1.F,auto (exchange suffix rule),
NEWMONT CORPORATION,XNYS,NEM,NEM,auto (exchange suffix rule),
Nemetschek SE,XFRA,NEM,NEM.F,auto (exchange suffix rule),
